State,Name of Facility,HPMS Toll ID,Financing or Operating Authority,From,To,Miles,Kilometers,Rural/Urban,Interstate Route,"One Way (N,S,E,W)",Both Ways,Collection System -No,Collection -Yes/Kind,Non-Toll Miles,Remarks,Federal Authority Source,Fee Type,Max Pass. Fee,Min Pass. Fee,Passenger Cost per Vehicle-Mile,Max Truck Fee,Min Truck Fee,Truck Cost per Vehicle-Mile
Puerto Rico,De Diego Expessway (PR-22),291,Puerto Rico Highway and Transportation Authority,"PR-2, Florida-Barceloneta and Arecibo Urbanized Area","PR-10, Arecibo Southeast Urban Limit",5.7,9.17,Urban,,W,,X,,,Factor Arecibo Ramp,,,$0.50 ,$0.50 ,$0.09 ,$2.25 ,$0.50 ,$0.26 
Puerto Rico,PR-53 Expressway: José Celso Barbosa,292,Puerto Rico Highway and Transportation Authority,"PR-3, Humacao","PR-9914, Yabucoa",7.63,12.28,Urban,,,X,X,,,Humacao South Toll,,,$1.00 ,$1.00 ,$0.13 ,$4.50 ,$1.00 ,$0.38 
Puerto Rico,Roberto Sánchez Vilella Expressway (PR-66),296,Puerto Rico Highway and Transportation Authority,"PR-26 Int. PR-3, Carolina","PR-3, Canóvanas",8.62,13.87,Urban,,,,,Radio Frecuency ID (Auto Expresso) Four lanes,,"Carolina Toll Plaza. Auto Esp. Lanes 6, 7, 16 & 17",,,$1.50 ,$1.50 ,$0.17 ,$4.25 ,$1.50 ,$0.39 
Puerto Rico,Roberto Sánchez Vilella Expressway (PR-66),296,Puerto Rico Highway and Transportation Authority,"PR-853, Carolina","PR-3, Canóvanas",5.68,9.14,Urban,,S,,,Radio Frecuency ID (Auto Expresso),,Ramp One South Auto Expresso Lane 4,,,$0.75 ,$0.75 ,$0.13 ,$2.75 ,$0.75 ,$0.34 
Puerto Rico,Roberto Sánchez Vilella Expressway (PR-66),296,Puerto Rico Highway and Transportation Authority,"PR-853, Carolina","PR-3, Canóvanas",5.68,9.14,Urban,,N,,,Radio Frecuency ID (Auto Expresso),,Ramp-One Auto Expresso Lane 14,,,$0.75 ,$0.75 ,$0.13 ,$2.75 ,$0.75 ,$0.34 
Puerto Rico,Roberto Sánchez Vilella Expressway (PR-66),296,Puerto Rico Highway and Transportation Authority,Canovanas,Rio Grande,10.81,17.4,Urban,,S,,,Radio Frecuency ID (Auto Expresso),,Rio Grande Toll,,,$1.50 ,$1.50 ,$0.14 ,$4.25 ,$1.50 ,$0.44 
Puerto Rico,Roberto Sánchez Vilella Expressway (PR-66),296,Puerto Rico Highway and Transportation Authority,Canovanas ,Rio Grande,10.81,17.4,Urban,,N,,,Radio Frecuency ID (Auto Expresso),,Rio Grande Ramp,,,$0.75 ,$0.75 ,$0.07 ,$2.75 ,$0.75 ,$0.25 
South Carolina,Southern Connector,219,Connector 2000 Association,I-385/ US 276,I-85,16,25.75,Rural,185,,X,,Palmetto Pass (transponder),,,,Fixed: rate based on axle/weight/price based on distance traveled,$5.10 ,$0.50 ,$0.18 ,$10.20 ,$0.65 ,$0.34 
Texas,Katy I-10 QuickRide and US 290,246,Harris County Toll Road Authority,IH 610,SH 6,11.91,19.17,Urban,10,,X,,E-ZPass,,HOV drivers are allowed toll free use under terms and conditions.,Value Pricing Pilot Program,Fixed variable: rate based on time of day,$5.00 ,$0.30 ,$0.13 ,$21.00 ,$7.00 ,$1.42 
Texas,"I-635 LBJ Managed Lanes, Dallas/ Fort Worth",307,Texas Department of Transportation,Loop 12/ IH 35 E,Greenville Avenue,13.25,21.32,Urban,635,,X,,Automatic Vehicle ID (AVI),,Under Construction. Fixed-fee schedule applied for first 6 months of operation; dynamic pricing applied thereafter.,,Dynamic variable: rate based on current traffic conditions,$9.94 ,$0.00 ,,$49.69 ,$29.81 ,
Texas,NTE -  (I-820/ SH 183 Managed Lanes - Ft. Worth),308,Texas Department of Transportation,IH 35 W,SH 161,13.3,21.4,Urban,820,,X,,Automatic Vehicle ID (AVI),,Under Construction. Fixed-fee schedule applied for first 6 months of operation; dynamic pricing applied thereafter.,,Dynamic variable: rate based on current traffic conditions,$9.98 ,$0.00 ,,$49.88 ,$29.93 ,
Texas,Tom Landry Expressway (I-30),329,Texas Department of Transportation,Bairds Farm Road/ Legends Way,Sylvan Ave,16.18,26.04,Urban,,,X,,Automatic Vehicle ID (AVI) & ficeo enforcement,,Under Construction; Toll Rates based on Time of Day min/max.  No multi-axle verhicles allowed,,Fixed variable: rate based on time of day,$0.40 ,$0.10 ,,,,
Utah ,Express Lanes (Salt Lake City),267,Utah Department of Transportation,"US-6 (Spanish Fork, MP 258.8)",SR-126 (MP 331.8),61.9,99.62,Urban,15,,X,,Transponder,10.1,HOV drivers are allowed toll free use under terms and conditions.,Section 166 (HOT lanes),Dynamic variable: rate based on current traffic conditions,$1.00 ,$0.25 ,$0.02 ,Not Allowed,Not Allowed,Not Allowed
West Virginia, West Virginia Turnpike,288, WV Parkways Economic Development & Tourism Authority, Charleston, Princeton,68.8,110.72,Rural,77,,X,,E-ZPass,,E-ZPass launched 1999.,,,,,,,,
West Virginia, West Virginia Turnpike,288, WV Parkways Economic Development & Tourism Authority, Charleston, Princeton,18,28.97,Urban,77,,X,,E-ZPass,, I-64 Also from Charleston to Beckley,,,,,,,,
