State,Name of Facility,HPMS Toll ID,Financing or Operating Authority,From,To,Miles,Kilometers,Rural/Urban,Interstate Route,"One Way (N,S,E,W)",Both Ways,Collection System -No,Collection -Yes/Kind,Non-Toll Miles,Remarks,Federal Authority Source,Fee Type,Max Pass. Fee,Min Pass. Fee,Passenger Cost per Vehicle-Mile,Max Truck Fee,Min Truck Fee,Truck Cost per Vehicle-Mile,
Puerto Rico,Rafael Martínez Nadal Expressway (PR-20),294,Puerto Rico Highway and Transportation Authority,PR-1 (Guaynabo),PR-199 Access (Guaynabo),1.6,2.57,Principal Arterial - Other Freeways and Expressways,Urban,X,N,,X,,,"Guaynabo Toll Plaza. Auto Expresso Laneas: 14, 15",,,$0.75 ,$0.75 ,$0.47 ,$2.75 ,$0.75 ,$0.34 
Puerto Rico,Expreso Rio Hondo (PR-5),295,Metropistas,PR-199,PR-174,2.02,3.25,Principal Arterial - Other Freeways and Expressways,Urban,X,N,,,Radio Frequency ID (Auto Expreso) 2 lanes,,Bayamón Toll Plaza. Lanes 14-15,,,$0.50 ,$0.50 ,$0.25 ,$3.50 ,$0.50 ,$0.99 
South Carolina,Cross Island Parkway (US 278),221,South Carolina Deptartment of Transportation,US 278 Business,Palmetto Bay Road,7.5,12.07,Principal Arterial - Other,Rural,X,,X,,Palmetto Pass (transponder),,Truck toll fee is dependent on the number of axles.  It is either $1.00 for first two axles or $0.50 if they utilize the Palmetto Pass and $0.75 for each additional axle.,,Fixed: rate based on axle/weight/price based on distance traveled,$2.25 ,$0.75 ,$0.20 ,$5.25 ,$4.75 ,$0.67 
Texas,Dallas North Tollway,247,North TX Tollway Authority (NTTA),IH-35E,US 380,30.09,48.43,Principal Arterial - Other,Urban,X,,X,,Automatic Vehicle ID (AVI) & video enforcement,,,,Fixed: rate based on axle/weight/price based on distance traveled,$6.95 ,$0.23 ,$0.15 ,$34.75 ,$0.46 ,$0.45 
Texas,Sam Houston Tollway - East,248,Harris County Toll Road Authority,SH 3,SH 225,7.3,11.75,Principal Arterial - Other,Urban,X,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.75 ,$0.75 ,$0.17 ,$8.75 ,$1.50 ,$0.72 
Texas,Sam Houston Tollway - West,249,Harris County Toll Road Authority,US 59 S,IH 45 N,25.66,41.3,Principal Arterial - Other,Urban,X,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$5.25 ,$0.75 ,$0.15 ,$26.25 ,$1.50 ,$0.63 
Texas,Sam Houston Tollway - SW Belt,250,Harris County Toll Road Authority,US 59 S,SH 288,10.88,17.51,Principal Arterial - Other,Urban,X,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.75 ,$0.75 ,$0.10 ,$8.75 ,$1.50 ,$0.46 
Texas,Sam Houston Tollway - SE Belt,251,Harris County Toll Road Authority,SH 288,IH 45 S,9.74,15.68,Principal Arterial - Other,Urban,X,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.75 ,$0.75 ,$0.13 ,$8.75 ,$1.50 ,$0.54 
Texas,Hardy Toll Road,252,Harris County Toll Road Authority,IH 45 N,IH 610 N,21.08,33.92,Principal Arterial - Other,Urban,X,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$3.50 ,$0.75 ,$0.12 ,$17.50 ,$1.50 ,$0.50 
Texas,Westpark Tollway,253,Harris County Toll Road Authority,IH 610 W,Fort Bend County Line,13.2,21.24,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,EZ Tag,,EZ Tag only facility. Does not include Fort Bend County's portion.,,Fixed: rate based on axle/weight/price based on distance traveled,$2.80 ,$0.40 ,$0.08 ,$17.50 ,$1.00 ,$0.37 
Texas,President George Bush Turnpike,254,North TX Tollway Authority (NTTA),Belt Line Road,SH 78,29.73,47.85,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) & video enforcement,,,,Fixed: rate based on axle/weight/price based on distance traveled,$6.88 ,$0.23 ,$0.15 ,$34.40 ,$0.46 ,$0.45 
Texas,President George Bush Turnpike - Western Extension,254,North TX Tollway Authority (NTTA),SH 183,IH 20,11.84,19.05,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI) & video enforcement,,,,Fixed: rate based on axle/weight/price based on distance traveled,$2.75 ,$0.23 ,$0.15 ,$13.75 ,$0.46 ,$0.45 
Texas,President George Bush Turnpike-Eastern Extension,254,north TX Tollway Authority(NTTA),SH 78,IH 30,9.92,15.97,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI) & video enforcement,,,,Fixed: rate based on axle/weight/price based on distance traveled,$2.28 ,$0.23 ,$0.15 ,$11.40 ,$0.46 ,$0.45 
Texas,Camino Colombia,255,Texas Department of Transportation,IH 35,Colombia Solidarity Bridge,22.5,36.21,Principal Arterial - Other Freeways and Expressways,Rural,X,,X,,Automatic Vehicle ID (AVI),,"Implemented all-electronic toll collection on Dec.1, 2008",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.99 ,$3.00 ,$0.09 ,$19.95 ,$9.00 ,$0.36 
Texas,US 183-A,256,Central Texas Regional Mobility Authority,SH45,South of US 183 in Leander,11.6,18.67,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,All Electronic Tolling (with Video Tolling),,"Implemented all-electronic toll collection on Dec.1, 2008",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.81 ,$0.37 ,$0.25 ,$19.05 ,$0.74 ,$0.74 
Texas,Fort Bend Parkway Extension,257,Harris County Toll Road Authority,Sam Houston Tollway Southwest,US 90A,2.08,3.35,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI),,Does not include Fort Bend County's portion.,,Fixed: rate based on axle/weight/price based on distance traveled,$1.75 ,$1.40 ,$0.63 ,$8.75 ,$3.50 ,$2.69 
Texas 5/,SH 45,258,Texas Department of Transportation,Ridgeline Blvd,SH 130,13.2,21.24,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,All Electronic AVI with pay by mail video tolling,,"Implemented all-electronic toll collection on Dec.1, 2008",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$2.72 ,$0.68 ,$0.16 ,$8.16 ,$1.36 ,$0.48 
Texas 5/,SH 45 SE,259,Texas Department of Transportation,US 183,IH 35,10,16.09,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,All Electronic AVI with pay by mail video tolling,,"Implemented all-electronic toll collection on Jan 1, 2013",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.33 ,$0.68 ,$0.14 ,$6.65 ,$2.63 ,$0.53 
Texas,SH 130,260,Texas Department of Transportation,IH35 N or Georgetown,US 183 S of ABIA,49,78.86,Principal Arterial - Other Freeways and Expressways,Rural,X,,X,,All Electronic AVI with pay by mail video tolling,,"Implemented all-electronic toll collection on Jan 1, 2013",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$9.00 ,$0.45 ,$0.14 ,$27.00 ,$1.35 ,$0.42 
Texas,Loop 49,261,Northeast Texas Regional Mobility Authority,SH 155,US 69,5.1,8.21,Principal Arterial - Other Freeways and Expressways,Rural,X,,X,,All Electronic AVI with pay by mail video tolling,,"Road tranistioned from Texas Department of Transportation operation to Northeast Texas Regional Mobility Authority on March 28, 2013. ",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$0.25 ,$0.15 ,$4.25 ,$1.25 ,$0.45 
Texas,Sam Rayburn Tollway,262,North TX Tollway Authority (NTTA),Denton Tap,US 75,25.46,40.97,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) & video enforcement,1.93,,,Fixed: rate based on axle/weight/price based on distance traveled,$5.40 ,$0.23 ,$0.15 ,$27.00 ,$0.46 ,$0.45 
Texas 5/,Loop 1,263,Texas Department of Transportation,Parmer Lane,SH 45,3.5,5.63,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,All Electronic AVI with pay by mail video tolling,,All electronic collection began 01 Jan 2013.,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.36 ,$0.68 ,$0.26 ,$4.08 ,$1.36 ,$0.78 
Texas,Hardy Airport Connector,252,Harris County Toll Road Authority,Hardy Tollroad,JFK Blvd,1.72,2.77,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI),1.27,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$1.00 ,$0.53 ,$5.00 ,$2.75 ,$2.60 
Texas,Westpark Tollway - Fort Bend County,253,Fort Bend County Toll Road Authority,FM 1464,GP 99,6,9.66,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.20 ,$1.20 ,$0.20 ,$3.25 ,$1.00 ,
Texas,Fort Bend Parkway Extension - Fort Bend County,257,Fort Bend County Toll Road Authority,BW 8,SH 6,6.2,9.98,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI),,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.25 ,$0.35 ,$0.20 ,$6.25 ,$4.00 ,
Texas,Chisholm Trail Parkway,321,North TX Tollway Authority (NTTA),IH 30,US 67,28.6,46.03,Principal Arterial - Other Freeways and Expressways,,,,X,,Automatic Vehicle ID (AVI) & video enforcement,,Under Construction.  Facility not open for traffic,,Fixed: rate based on axle/weight/price based on distance traveled,$7.37 ,$0.28 ,$0.21/$0.16,$36.85 ,$0.56 ,$0.63/$0.48
Texas,Sam Houston Tollway- NE,322,Harris County Toll Road Authority,Wallisville Road,Old Humble Road,12.97,20.87,Principal Arterial - Other ,Rural/Urban,X,,X,,EZ Tag,,EZ Tag only facility. ,,Fixed: rate based on axle/weight/price based on distance traveled,$1.40 ,$0.50 ,$0.08 ,$8.75 ,$1.25 ,$0.38 
Texas,DFW Connector,323,Texas Department of Transportation,SH 121/SH 114,DFW International Airport,4,6.44,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,All Electronic AVI with pay by mail video tolling,,Under construction,,Fixed variable: rate based on time of day,,,,,,
Texas,SH99 (Grand Parkway) - Segment I-2,324,Texas Department of Transportation,IH 10,FM 1405 (Fisher Road),6.6,10.62,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) & video enforcement,,,,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$1.00 ,$0.18 ,$5.00 ,$2.00 ,$0.53 
Texas,SH99 (Grand Parkway) - Segment E,325,Texas Department of Transportation,IH 10,US 290,15.67,25.22,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) & video enforcement,,Under Construction,,Fixed: rate based on axle/weight/price based on distance traveled,,,,,,
Texas,"SH99 (Grand Parkway) - Segments F-1, F-2, and G",326,Texas Department of Transportation,US 290,US 59,37.8,60.83,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) & video enforcement,,Under Construction,,Fixed: rate based on axle/weight/price based on distance traveled,,,,,,
Texas,SH 130 Seg 5/6,327,Texas Department of Transportation,US 183 S of ABIA,IH 10,,,Principal Arterial - Other Freeways and Expressways,Rural,X,,X,,All Electronic AVI with pay by mail video tolling,,,,Fixed: rate based on axle/weight/price based on distance traveled,$8.21 ,$0.41 ,$0.15 ,$34.33 ,$0.80 ,$0.45 
Texas,Loop 375 (Cesar Chavez Managed Lanes),328,Camino Real Regional Mobility Authority,US 54,Zaragosa Road,8.9,14.32,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,All Electronic AVI with pay by mail video tolling,,Under Construction,,Fixed variable: rate based on time of day,,,,,,
Texas,SH 550,330,Cameron County Regional Mobility Authority,0.5 mi. east of FM 1847,0.5 mi. West of FM1847,1,1.61,Principal Arterial - Other,Urban,X,,X,,All Electronic AVI with pay by mail video tolling,,All electronic collection.,,Fixed: rate based on axle/weight/price based on distance traveled,$0.67 ,$0.46 ,$0.17 ,$5.00 ,$3.00 ,$0.50 
Texas ,Manor Expressway - Phase 1,331,Central Texas Regional Mobility Authority,US 183,Springdale Road,1.2,1.93,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,All Electronic Tolling (with Video Tolling),,,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$0.67 ,$0.50 ,$0.39 ,$3.35 ,$1.00 ,$1.18 
Texas,Manor Expressway - Phase 2,332,Central Texas Regional Mobility Authority,Springdale Road,Parmer Lane,5,8.05,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,All Electronic Tolling (with Video Tolling),,Under Construction.  Anticipated to open to traffic in Feb. 2014,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$2.11 ,$1.59 ,$0.26 ,$10.57 ,$3.18 ,$0.77 
Utah,Adams Avenue Parkway,268,Adams Avenue Parkway,I-84 (Exit 85),5900 South,1,1.61,Minor Arterial,Urban,,,X,X,,,Private $1.00 for the typical 2-axle vehicle.  $.50 for each additional axle,,Fixed: rate based on axle/weight/price based on distance traveled,,$1.00 ,,,$1.50 ,
Vermont,Equinox Sky Line Drive,269,Dr. Joe G. Davidson; Manchester,SR 7A - Sunderland,Mt. Equinox,5.4,8.69,local,Rural,,N,,X,,,Private,,,,,,,,
Vermont,Mt. Mansfield Toll Road,270,"Mt. Mansfield Co, Inc.",SR 108,Mt. Mansfield,4.5,7.24,local,Rural,,N,,X,,,Private,,,,,,,,
Vermont,Burke Mountain Toll Road,271,"Burke Mtn Recreation, Inc.",TH 7,Burke Mtn,2,3.22,local,Rural,,S,,X,,,Private,,,,,,,,
Virginia,Powhite Parkway Extension (SR 76),276,Virginia Department of Transportation,Chippenham Parkway,Route 288,9.44,15.19,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) - E-ZPass,0.79,The minimum passenger vehicle toll is based on exiting the facility prior to the main line plaza.  The minimum truck toll fee is based on a three-axle vehicle while the maximum is based on a six-axle vehicle.,,Fixed: rate based on axle/weight/price based on distance traveled,$0.75 ,$0.25 ,,$1.50 ,$1.00 ,
Virginia,Powhite Parkway (SR 76),276,Richmond Metropolitan Authority,Chippenham Parkway (Route 150),Interstate 195,3.26,5.25,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The maximum truck toll is based on a five-axle vehicle; a four-axle vehicle would be $ .90 and a three-axle vehicle would be $ .80.,,Fixed: rate based on axle/weight/price based on distance traveled,$0.70 ,$0.70 ,,$1.00 ,$0.80 ,
Virginia,Downtown Expressway (SR 195),277,Richmond Metropolitan Authority,Interstate 95,Interstate 195,3.39,5.46,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The maximum truck toll is based on a five-axle vehicle; a four-axle vehicle would be $ .90 and a three-axle vehicle would be $ .80.,,Fixed: rate based on axle/weight/price based on distance traveled,$0.70 ,$0.70 ,,$1.00 ,$0.80 ,
Virginia,Washington-Dulles Access and Toll Road/Route 267 (Hirst-Brault Expressway),279,Virginia Department of Transportation,Interstate 66,Route 28 (Dulles International Airport),13.43,21.61,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The minimum passenger vehicle toll is based on exiting the facility prior to the main line plaza.  The minimum truck toll fee is based on a three-axle vehicle on the main line; each additional axle is $0.25 up to $2.25.,,Fixed: rate based on axle/weight/price based on distance traveled,$1.25 ,$0.75 ,,$2.25 ,$1.50 ,
Virginia,Dulles Greenway (Hirst-Brault Expressway),280,Toll Road Investors Partnership II (TRIP II),Route 7 & Route 15 Bypass at Leesburg,ECL Leesburg,0.69,1.11,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,,0.69,Non-toll Section,,,,,,,,
Virginia,Dulles Greenway (Hirst-Brault Expressway),280,Toll Road Investors Partnership II (TRIP II),ECL Leesburg,Route 659 - Belmont Ridge Road,4.79,7.71,Principal Arterial - Other,Rural,,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The toll is less at certain exits for those with E-ZPass.  The toll is more during rush hour (congestion management toll).  Maximum passenger toll based on last exit on this section during rush hour  without E-ZPass; minimum based on first exit during non-rush hour with E-ZPass.  Maximum truck toll based on a six-axle vehicle at last exit during rush hour without E-ZPass; the minimum truck toll based on a three-axle vehicle at the first exit during non-rush hour with E-ZPass.,,Fixed variable: rate based on time of day,$3.80 ,$2.15 ,,$13.30 ,$4.30 ,
Virginia,Dulles Greenway (Hirst-Brault Expressway),280,Toll Road Investors Partnership II (TRIP II),Route 659 - Belmont Ridge Road,Route 28 (at Dulles Airport),7.05,11.35,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The toll is less at certain exits for those with E-ZPass.  The toll is more during rush hour (congestion management toll).  Maximum passenger toll based on last exit on this section during rush hour  without E-ZPass; minimum based on first exit during non-rush hour with E-ZPass.  Maximum truck toll based on a six-axle vehicle at last exit during rush hour without E-ZPass; the minimum truck toll based on a three-axle vehicle at the first exit during non-rush hour with E-ZPass.,,Fixed variable: rate based on time of day,$5.25 ,$2.55 ,,$17.50 ,$5.10 ,
Virginia,Chesapeake Expressway (SR 168),281,City of Chesapeake,Hillcrest Parkway,Gallbush Road,6.4,10.3,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The maximum passenger toll is based on weekends during peak season (Memorial Day-Labor Day); minimum is based on off-peak.  The maximum truck toll is based on weekends during peak season regadless of axles; minimum is based on off-peak.  There is a discount for locals ($2.00 off the peak rate and $0.75 off the non-peak rate).  ,,Fixed: rate based on axle/weight/price based on distance traveled,$6.00 ,$3.00 ,,$7.00 ,$4.00 ,
Virginia,Pocahontas Parkway/Airport Connector (Route 895),282,Transurban Group,Route 150 (Chippenham Parkway),Interstate 295,10.12,16.29,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,Automatic Vehicle ID (AVI) - E-ZPass,,The maximum passenger toll ais based on rush hour on the main line while the minimum passenger toll is based on non-rush hour on the main-line.  Early exits are $1.25.  The maximum truck toll fee is $3.00 + $1.00/axle over two axles regardless of time of day; the rate indicated is based on a six-axle vehicle; the minimum is based on 3 axles.  ,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.00 ,$2.75 ,,$7.00 ,$4.00 ,
Washington,SR 167 - HOT Lanes,309,Washington State Department of Transportation,"Auburn, WA","Renton, WA",14.48,23.3,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,, Automatic Vehicle ID (AVI) - Good To Go,,,,Dynamic variable: rate based on current traffic conditions,$0.50 ,$9.00 ,,,,
